10-digit PSGC,Name,Correspondence Code,Geographic Level,Old names,City Class,"Income
Classification","Urban / Rural
(based on 2020 CPH)",2015 Population,,2020 Population,
0102801000,Adams,012801000,Mun,,,5th,,1792,,2189,
0102802000,Bacarra,012802000,Mun,,,3rd,,32215,,33496,
0102803000,Badoc,012803000,Mun,,,3rd,,31616,,32530,
0102804000,Bangui,012804000,Mun,,,4th,,14672,,15019,
0102805000,City of Batac,012805000,City,,CC,5th,,55201,,55484,
0102806000,Burgos,012806000,Mun,,,5th,,9777,,10759,
0102807000,Carasi,012807000,Mun,,,5th,,1567,,1607,
0102808000,Currimao,012808000,Mun,,,4th,,12184,,12215,
0102809000,Dingras,012809000,Mun,,,2nd,,38562,,40127,
0102810000,Dumalneg,012810000,Mun,,,5th,,2947,,3087,
0102811000,Banna,012811000,Mun,Espiritu,,4th,,19438,,19297,
0102812000,City of Laoag ,012812000,City,,CC,3rd,,111125,,111651,
0102813000,Marcos,012813000,Mun,,,4th,,17777,,18010,
0102814000,Nueva Era,012814000,Mun,,,3rd,,9506,,11968,
0102815000,Pagudpud,012815000,Mun,,,4th,,23770,,25098,
0102816000,Paoay,012816000,Mun,,,4th,,24866,,25001,
0102817000,Pasuquin,012817000,Mun,,,3rd,,28980,,29678,
0102818000,Piddig,012818000,Mun,,,3rd,,21497,,22475,
0102819000,Pinili,012819000,Mun,,,3rd,,17300,,17626,
0102820000,San Nicolas,012820000,Mun,,,2nd,,36736,,38895,
0102821000,Sarrat,012821000,Mun,,,4th,,25212,,25186,
0102822000,Solsona,012822000,Mun,,,3rd,,24121,,24851,
0102823000,Vintar,012823000,Mun,,,1st,,32220,,33339,
0102901000,Alilem,012901000,Mun,,,4th,,6695,,7361,
0102902000,Banayoyo,012902000,Mun,,,4th,,7748,,7931,
0102903000,Bantay,012903000,Mun,,,3rd,,35731,,37118,
0102904000,Burgos,012904000,Mun,,,4th,,12224,,12793,
0102905000,Cabugao,012905000,Mun,,,1st,,37501,,38884,
0102906000,City of Candon,012906000,City,,CC,4th,,60623,,61432,
0102907000,Caoayan,012907000,Mun,,,4th,,19861,,19574,
0102908000,Cervantes,012908000,Mun,,,4th,,17211,,19449,
0102909000,Galimuyod,012909000,Mun,,,4th,,10748,,10244,
0102910000,Gregorio del Pilar,012910000,Mun,Concepcion,,5th,,4875,,4472,
0102911000,Lidlidda,012911000,Mun,,,5th,,4647,,4705,
0102912000,Magsingal,012912000,Mun,,,3rd,,30792,,31308,
0102913000,Nagbukel,012913000,Mun,,,5th,,5259,,5465,
0102914000,Narvacan,012914000,Mun,,,2nd,,44006,,46234,
0102915000,Quirino,012915000,Mun,Angkaki,,4th,,8573,,9306,
0102916000,Salcedo,012916000,Mun,Baugen,,4th,,11288,,11110,
0102917000,San Emilio,012917000,Mun,,,4th,,7407,,7206,
0102918000,San Esteban,012918000,Mun,,,5th,,8349,,8381,
0102919000,San Ildefonso,012919000,Mun,,,5th,,7787,,8190,
0102920000,San Juan,012920000,Mun,Lapog,,3rd,,26411,,26674,
0102921000,San Vicente,012921000,Mun,,,5th,,12758,,13118,
0102922000,Santa,012922000,Mun,,,4th,,15340,,14992,
0102923000,Santa Catalina,012923000,Mun,,,5th,,13945,,14493,
0102924000,Santa Cruz,012924000,Mun,,,1st,,39868,,41366,
0102925000,Santa Lucia,012925000,Mun,,,3rd,,25402,,25966,
0102926000,Santa Maria,012926000,Mun,,,3rd,,30321,,30006,
0102927000,Santiago,012927000,Mun,,,4th,,18759,,19471,
0102928000,Santo Domingo,012928000,Mun,,,3rd,,27975,,29041,
0102929000,Sigay,012929000,Mun,,,5th,,2737,,2552,
0102930000,Sinait,012930000,Mun,,,3rd,,25640,,25998,
0102931000,Sugpon,012931000,Mun,,,5th,,4585,,4930,
0102932000,Suyo,012932000,Mun,,,4th,,11446,,10766,
0102933000,Tagudin,012933000,Mun,,,2nd,,39277,,41538,
0102934000,City of Vigan ,012934000,City,,CC,4th,,53879,,53935,
0103301000,Agoo,013301000,Mun,,,1st,,63692,,66028,
0103302000,Aringay,013302000,Mun,,,2nd,,47458,,50380,
0103303000,Bacnotan,013303000,Mun,,,1st,,42078,,44388,
0103304000,Bagulin,013304000,Mun,,,5th,,13456,,14428,
0103305000,Balaoan,013305000,Mun,,,1st,,39188,,40339,
0103306000,Bangar,013306000,Mun,,,3rd,,35947,,38041,
0103307000,Bauang,013307000,Mun,,,1st,,75032,,78449,
0103308000,Burgos,013308000,Mun,,,5th,,8067,,9006,
0103309000,Caba,013309000,Mun,,,4th,,22039,,23119,
0103310000,Luna,013310000,Mun,,,3rd,,35802,,37318,
0103311000,Naguilian,013311000,Mun,,,1st,,54221,,52189,
0103312000,Pugo,013312000,Mun,,,5th,,19690,,19337,
0103313000,Rosario,013313000,Mun,,,1st,,55458,,60278,
0103314000,City of San Fernando ,013314000,City,,CC,3rd,,121812,,125640,
0103315000,San Gabriel,013315000,Mun,,,4th,,18172,,18943,
0103316000,San Juan,013316000,Mun,,,2nd,,37188,,40507,
0103317000,Santo Tomas,013317000,Mun,,,4th,,39092,,40846,
0103318000,Santol,013318000,Mun,,,4th,,12476,,14166,
0103319000,Sudipen,013319000,Mun,,,4th,,17056,,17187,
0103320000,Tubao,013320000,Mun,,,4th,,28729,,31763,
0105501000,Agno,015501000,Mun,,,3rd,,28052,,29947,
0105502000,Aguilar,015502000,Mun,,,3rd,,41463,,45100,
0105503000,City of Alaminos,015503000,City,,CC,4th,,89708,,99397,
0105504000,Alcala,015504000,Mun,,,3rd,,43402,,48908,
0105505000,Anda,015505000,Mun,,,3rd,,39504,,41548,
0105506000,Asingan,015506000,Mun,,,2nd,,57355,,57811,
0105507000,Balungao,015507000,Mun,,,4th,,31106,,30004,
0105508000,Bani,015508000,Mun,,,2nd,,50306,,52603,
0105509000,Basista,015509000,Mun,,,4th,,32959,,37679,
0105510000,Bautista,015510000,Mun,,,4th,,32307,,35398,
0105511000,Bayambang,015511000,Mun,,,1st,,118205,,129011,
0105512000,Binalonan,015512000,Mun,,,1st,,54555,,56382,
0105513000,Binmaley,015513000,Mun,,,1st,,83052,,86881,
0105514000,Bolinao,015514000,Mun,,,1st,,82084,,83979,
0105515000,Bugallon,015515000,Mun,,,2nd,,67348,,74962,
0105516000,Burgos,015516000,Mun,,,4th,,21637,,23749,
0105517000,Calasiao,015517000,Mun,,,1st,,95154,,100471,
0105518000,City of Dagupan,015518000,City,,ICC,2nd,,171271,,174302,
0105519000,Dasol,015519000,Mun,,,3rd,,29110,,31355,
0105520000,Infanta,015520000,Mun,,,3rd,,24584,,26242,
0105521000,Labrador,015521000,Mun,,,4th,,23201,,26811,
0105522000,Lingayen ,015522000,Mun,,,1st,,103278,,107728,
0105523000,Mabini,015523000,Mun,,,3rd,,24765,,26454,
0105524000,Malasiqui,015524000,Mun,,,1st,,130275,,143094,
0105525000,Manaoag,015525000,Mun,,,1st,,69497,,76045,
0105526000,Mangaldan,015526000,Mun,,,1st,,106331,,113185,
0105527000,Mangatarem,015527000,Mun,,,1st,,73241,,79323,
0105528000,Mapandan,015528000,Mun,,,3rd,,37059,,38058,
0105529000,Natividad,015529000,Mun,,,4th,,24299,,25771,
0105530000,Pozorrubio,015530000,Mun,,,1st,,69555,,74729,
0105531000,Rosales,015531000,Mun,,,1st,,63081,,66711,
0105532000,City of San Carlos,015532000,City,,CC,3rd,,188571,,205424,
0105533000,San Fabian,015533000,Mun,,,1st,,83025,,87428,
0105534000,San Jacinto,015534000,Mun,,,3rd,,40848,,44351,
0105535000,San Manuel,015535000,Mun,,,1st,,52939,,54271,
0105536000,San Nicolas,015536000,Mun,,,1st,,35574,,39778,
0105537000,San Quintin,015537000,Mun,,,3rd,,32945,,33980,
0105538000,Santa Barbara,015538000,Mun,,,1st,,82012,,92187,
0105539000,Santa Maria,015539000,Mun,,,4th,,33038,,34220,
0105540000,Santo Tomas,015540000,Mun,,,5th,,15022,,14878,
0105541000,Sison,015541000,Mun,,,3rd,,47518,,52320,
0105542000,Sual,015542000,Mun,,,1st,,34149,,39091,
0105543000,Tayug,015543000,Mun,,,3rd,,43149,,45241,
0105544000,Umingan,015544000,Mun,,,1st,,73252,,77074,
0105545000,Urbiztondo,015545000,Mun,,,3rd,,50170,,55557,
0105546000,City of Urdaneta,015546000,City,,CC,2nd,,132940,,144577,
0105547000,Villasis,015547000,Mun,,,1st,,62333,,65047,
0105548000,Laoac,015548000,Mun,,,4th,,31497,,34128,
0200901000,Basco ,020901000,Mun,,,5th,,8579,,9517,
0200902000,Itbayat,020902000,Mun,,,5th,,2867,,3128,
0200903000,Ivana,020903000,Mun,,,6th,,1327,,1407,
0200904000,Mahatao,020904000,Mun,,,6th,,1555,,1703,
0200905000,Sabtang,020905000,Mun,,,6th,,1621,,1696,
0200906000,Uyugan,020906000,Mun,,,6th,,1297,,1380,
0201501000,Abulug,021501000,Mun,,,3rd,,32497,,34579,
0201502000,Alcala,021502000,Mun,,,3rd,,38883,,41295,
0201503000,Allacapan,021503000,Mun,,,3rd,,33571,,35234,
0201504000,Amulung,021504000,Mun,,,2nd,,47860,,50336,
0201505000,Aparri,021505000,Mun,,,1st,,65649,,68839,
0201506000,Baggao,021506000,Mun,,,1st,,82782,,87753,
0201507000,Ballesteros,021507000,Mun,,,4th,,34299,,34488,
0201508000,Buguey,021508000,Mun,,,3rd,,30175,,32148,
0201509000,Calayan,021509000,Mun,,,3rd,,16702,,17410,
0201510000,Camalaniugan,021510000,Mun,,,4th,,24923,,25236,
0201511000,Claveria,021511000,Mun,,,3rd,,29921,,31900,
0201512000,Enrile,021512000,Mun,,,3rd,,35834,,36705,
0201513000,Gattaran,021513000,Mun,,,1st,,56661,,58874,
0201514000,Gonzaga,021514000,Mun,,,1st,,38892,,41680,
0201515000,Iguig,021515000,Mun,,,4th,,27862,,30060,
0201516000,Lal-Lo,021516000,Mun,,,1st,,44506,,48733,
0201517000,Lasam,021517000,Mun,,,3rd,,39135,,41225,
0201518000,Pamplona,021518000,Mun,,,4th,,23596,,24781,
0201519000,Peñablanca,021519000,Mun,,,1st,,48584,,50300,
0201520000,Piat,021520000,Mun,,,4th,,23597,,24805,
0201521000,Rizal,021521000,Mun,,,5th,,17994,,19077,
0201522000,Sanchez-Mira,021522000,Mun,,,3rd,,24541,,26164,
0201523000,Santa Ana,021523000,Mun,,,2nd,,32906,,35688,
0201524000,Santa Praxedes,021524000,Mun,,,5th,,4154,,4434,
0201525000,Santa Teresita,021525000,Mun,,,4th,,19038,,19573,
0201526000,Santo Niño,021526000,Mun,Faire,,2nd,,27219,,28537,
0201527000,Solana,021527000,Mun,,,1st,,82502,,88445,
0201528000,Tuao,021528000,Mun,,,1st,,61535,,63970,
0201529000,Tuguegarao City ,021529000,City,,CC,3rd,,153502,,166334,
0203101000,Alicia,023101000,Mun,,,1st,,71504,,73874,
0203102000,Angadanan,023102000,Mun,,,3rd,,43061,,44977,
0203103000,Aurora,023103000,Mun,,,3rd,,35017,,36621,
0203104000,Benito Soliven,023104000,Mun,,,4th,,29624,,29752,
0203105000,Burgos,023105000,Mun,,,4th,,23784,,26040,
0203106000,Cabagan,023106000,Mun,,,1st,,50174,,53897,
0203107000,Cabatuan,023107000,Mun,,,3rd,,39413,,39990,
0203108000,City of Cauayan,023108000,City,,CC,3rd,,129523,,143403,
0203109000,Cordon,023109000,Mun,,,3rd,,42926,,46477,
0203110000,Dinapigue,023110000,Mun,,,1st,,5005,,5821,
0203111000,Divilacan,023111000,Mun,,,2nd,,5687,,5827,
0203112000,Echague,023112000,Mun,,,1st,,79094,,88410,
0203113000,Gamu,023113000,Mun,,,4th,,29904,,30655,
0203114000,City of Ilagan ,023114000,City,,CC,1st (as Mun),,145568,,158218,
0203115000,Jones,023115000,Mun,,,1st,,45666,,45628,
0203116000,Luna,023116000,Mun,,,5th,,19326,,20697,
0203117000,Maconacon,023117000,Mun,,,3rd,,4253,,3977,
0203118000,Delfin Albano,023118000,Mun,Magsaysay,,4th,,26614,,29928,
0203119000,Mallig,023119000,Mun,,,4th,,30459,,32208,
0203120000,Naguilian,023120000,Mun,,,4th,,31902,,33788,
0203121000,Palanan,023121000,Mun,,,1st,,17260,,17684,
0203122000,Quezon,023122000,Mun,,,4th,,25860,,27037,
0203123000,Quirino,023123000,Mun,,,4th,,24501,,25023,
0203124000,Ramon,023124000,Mun,,,2nd,,52707,,56523,
0203125000,Reina Mercedes,023125000,Mun,,,4th,,26998,,27900,
0203126000,Roxas,023126000,Mun,,,1st,,61773,,65839,
0203127000,San Agustin,023127000,Mun,,,3rd,,22880,,22096,
0203128000,San Guillermo,023128000,Mun,,,4th,,20200,,20915,
0203129000,San Isidro,023129000,Mun,,,5th,,24861,,27044,
0203130000,San Manuel,023130000,Mun,,,4th,,31896,,34085,
0203131000,San Mariano,023131000,Mun,,,1st,,55370,,60124,
0203132000,San Mateo,023132000,Mun,,,1st,,64505,,66663,
0203133000,San Pablo,023133000,Mun,,,2nd,,25384,,26320,
0203134000,Santa Maria,023134000,Mun,,,4th,,25382,,25758,
0203135000,City of Santiago,023135000,City,,ICC,1st,,134830,,148580,
0203136000,Santo Tomas,023136000,Mun,,,4th,,23005,,24528,
0203137000,Tumauini,023137000,Mun,,,1st,,67650,,70743,
0205001000,Ambaguio,025001000,Mun,,,5th,,15250,,15472,
0205002000,Aritao,025002000,Mun,,,2nd,,37225,,42197,
0205003000,Bagabag,025003000,Mun,,,2nd,,35501,,37985,
0205004000,Bambang,025004000,Mun,,,1st,,53433,,55789,
0205005000,Bayombong ,025005000,Mun,,,1st,,61512,,67714,
0205006000,Diadi,025006000,Mun,,,4th,,18122,,19236,
0205007000,Dupax del Norte,025007000,Mun,,,3rd,,27514,,33295,
0205008000,Dupax del Sur,025008000,Mun,,,2nd,,19111,,21224,
0205009000,Kasibu,025009000,Mun,,,3rd,,37705,,41776,
0205010000,Kayapa,025010000,Mun,,,3rd,,23714,,26469,
0205011000,Quezon,025011000,Mun,,,4th,,21056,,24055,
0205012000,Santa Fe,025012000,Mun,,,3rd,,16180,,18276,
0205013000,Solano,025013000,Mun,,,1st,,59517,,65287,
0205014000,Villaverde,025014000,Mun,,,5th,,18507,,20118,
0205015000,Alfonso Castaneda,025015000,Mun,,,1st,,7940,,8539,
0205701000,Aglipay,025701000,Mun,,,3rd,,27787,,30714,
0205702000,Cabarroguis ,025702000,Mun,,,3rd,,30582,,33533,
0205703000,Diffun,025703000,Mun,,,2nd,,52569,,56102,
0205704000,Maddela,025704000,Mun,,,1st,,38499,,40943,
0205705000,Saguday,025705000,Mun,,,5th,,16070,,17137,
0205706000,Nagtipunan,025706000,Mun,,,1st,,23484,,25399,
0300801000,Abucay,030801000,Mun,,,3rd,,39880,,42984,
0300802000,Bagac,030802000,Mun,,,3rd,,26936,,31365,
0300803000,City of Balanga ,030803000,City,,CC,4th,,96061,,104173,
0300804000,Dinalupihan,030804000,Mun,,,1st,,106371,,118209,
0300805000,Hermosa,030805000,Mun,,,1st,,65862,,77443,
0300806000,Limay,030806000,Mun,,,1st,,68071,,78272,
0300807000,Mariveles,030807000,Mun,,,1st,,127536,,149879,
0300808000,Morong,030808000,Mun,,,3rd,,29901,,35394,
0300809000,Orani,030809000,Mun,,,3rd,,66909,,70342,
0300810000,Orion,030810000,Mun,,,2nd,,56002,,60771,
0300811000,Pilar,030811000,Mun,,,3rd,,41823,,46239,
0300812000,Samal,030812000,Mun,,,4th,,35298,,38302,
0301401000,Angat,031401000,Mun,,,1st,,59237,,65617,
0301402000,Balagtas,031402000,Mun,Bigaa,,1st,,73929,,77018,
0301403000,City of Baliwag,031403000,City,,CC,1st (as Mun),,149954,,168470,
0301404000,Bocaue,031404000,Mun,,,1st,,119675,,141412,
0301405000,Bulacan,031405000,Mun,,,1st,,76565,,81232,
0301406000,Bustos,031406000,Mun,,,2nd,,67039,,77199,
0301407000,Calumpit,031407000,Mun,,,1st,,108757,,118471,
0301408000,Guiguinto,031408000,Mun,,,1st,,99730,,113415,
0301409000,Hagonoy,031409000,Mun,,,1st,,129807,,133448,
0301410000,City of Malolos ,031410000,City,,CC,3rd,,252074,,261189,
0301411000,Marilao,031411000,Mun,,,1st,,221965,,254453,
0301412000,City of Meycauayan,031412000,City,,CC,3rd,,209083,,225673,
0301413000,Norzagaray,031413000,Mun,,,1st,,111348,,136064,
0301414000,Obando,031414000,Mun,,,2nd,,59197,,59978,
0301415000,Pandi,031415000,Mun,,,2nd,,89075,,155115,
0301416000,Paombong,031416000,Mun,,,3rd,,53294,,55696,
0301417000,Plaridel,031417000,Mun,,,1st,,107805,,114432,
0301418000,Pulilan,031418000,Mun,,,1st,,97323,,108836,
0301419000,San Ildefonso,031419000,Mun,,,1st,,104471,,115713,
0301420000,City of San Jose Del Monte,031420000,City,,CC,1st,,574089,,651813,
0301421000,San Miguel,031421000,Mun,,,1st,,153882,,172073,
0301422000,San Rafael,031422000,Mun,,,1st,,94655,,103097,
0301423000,Santa Maria,031423000,Mun,,,1st,,256454,,289820,
0301424000,Doña Remedios Trinidad,031424000,Mun,,,1st,,22663,,28656,
0304901000,Aliaga,034901000,Mun,,,2nd,,63543,,70363,
0304902000,Bongabon,034902000,Mun,,,2nd,,64173,,66839,
0304903000,City of Cabanatuan,034903000,City,,CC,1st,,302231,,327325,
0304904000,Cabiao,034904000,Mun,,,1st,,79007,,85862,
0304905000,Carranglan,034905000,Mun,,,1st,,41131,,42420,
0304906000,Cuyapo,034906000,Mun,,,1st,,65039,,68066,
0304907000,Gabaldon,034907000,Mun,Bitulok & Sabani,,4th,,35383,,38958,
0304908000,City of Gapan,034908000,City,,CC,4th,,110303,,122968,
0304909000,General Mamerto Natividad,034909000,Mun,,,3rd,,41656,,44311,
0304910000,General Tinio,034910000,Mun,Papaya,,1st,,47865,,55925,
0304911000,Guimba,034911000,Mun,,,1st,,118655,,127653,
0304912000,Jaen,034912000,Mun,,,2nd,,73184,,79189,
0304913000,Laur,034913000,Mun,,,3rd,,35656,,38263,
0304914000,Licab,034914000,Mun,,,4th,,28254,,29269,
0304915000,Llanera,034915000,Mun,,,4th,,39701,,42281,
0304916000,Lupao,034916000,Mun,,,3rd,,43788,,45917,
0304917000,Science City of Muñoz,034917000,City,,CC,4th,,81483,,84308,
0304918000,Nampicuan,034918000,Mun,,,5th,,14954,,14471,
0304919000,City of Palayan ,034919000,City,,CC,5th,,41041,,45383,
0304920000,Pantabangan,034920000,Mun,,,1st,,29925,,31763,
0304921000,Peñaranda,034921000,Mun,,,4th,,29882,,32269,
0304922000,Quezon,034922000,Mun,,,4th,,40592,,41845,
0304923000,Rizal,034923000,Mun,,,2nd,,64087,,70196,
0304924000,San Antonio,034924000,Mun,,,1st,,77836,,83060,
0304925000,San Isidro,034925000,Mun,,,2nd,,51612,,54372,
0304926000,San Jose City,034926000,City,,CC,3rd,,139738,,150917,
0304927000,San Leonardo,034927000,Mun,,,1st,,65299,,68536,
0304928000,Santa Rosa,034928000,Mun,,,1st,,69467,,75649,
0304929000,Santo Domingo,034929000,Mun,,,3rd,,57943,,61092,
0304930000,Talavera,034930000,Mun,,,1st,,124829,,132338,
0304931000,Talugtug,034931000,Mun,,,4th,,23817,,25236,
0304932000,Zaragoza,034932000,Mun,,,3rd,,49387,,53090,
0330100000,City of Angeles,035401000,City,,HUC,1st,,411634,,462928,
0305402000,Apalit,035402000,Mun,,,1st,,107965,,117160,
0305403000,Arayat,035403000,Mun,,,1st,,133492,,144875,
0305404000,Bacolor,035404000,Mun,,,3rd,,39460,,48066,
0305405000,Candaba,035405000,Mun,,,1st,,111586,,119497,
0305406000,Floridablanca,035406000,Mun,,,1st,,125163,,135542,
0305407000,Guagua,035407000,Mun,,,1st,,117430,,128893,
0305408000,Lubao,035408000,Mun,,,1st,,160838,,173502,
0305409000,Mabalacat City,035409000,City,,CC,3rd,,250799,,293244,
0305410000,Macabebe,035410000,Mun,,,1st,,75850,,78151,
0305411000,Magalang,035411000,Mun,,,1st,,113147,,124188,
0305412000,Masantol,035412000,Mun,,,2nd,,57063,,57990,
0305413000,Mexico,035413000,Mun,,,1st,,154624,,173403,
0305414000,Minalin,035414000,Mun,,,4th,,47713,,48380,
0305415000,Porac,035415000,Mun,,,1st,,124381,,140751,
0305416000,City of San Fernando ,035416000,City,,CC,1st,,306659,,354666,
0305417000,San Luis,035417000,Mun,,,3rd,,54106,,58551,
0305418000,San Simon,035418000,Mun,,,3rd*,,53198,,59182,
0305419000,Santa Ana,035419000,Mun,,,3rd,,55178,,61537,
0305420000,Santa Rita,035420000,Mun,,,4th,,40979,,48209,
0305421000,Sto. Tomas,035421000,Mun,,,4th,,40475,,42846,
0305422000,Sasmuan,035422000,Mun,Sexmoan,,4th,,28004,,29076,
0306901000,Anao,036901000,Mun,,,5th,,11528,,12208,
0306902000,Bamban,036902000,Mun,,,2nd,,69466,,78260,
0306903000,Camiling,036903000,Mun,,,1st,,83248,,87319,
0306904000,Capas,036904000,Mun,,,1st,,140202,,156056,
0306905000,Concepcion,036905000,Mun,,,1st,,154188,,169953,
0306906000,Gerona,036906000,Mun,,,1st,,87531,,94485,
0306907000,La Paz,036907000,Mun,,,2nd,,64017,,68952,
0306908000,Mayantoc,036908000,Mun,,,3rd,,32232,,32597,
