10-digit PSGC,Name,Correspondence Code,Geographic Level,Old names,City Class,"Income
Classification","Urban / Rural
(based on 2020 CPH)",2015 Population,,2020 Population,
0100000000,Region I (Ilocos Region),010000000,Reg,,,,,5026128,,5301139,
0102800000,Ilocos Norte,012800000,Prov,,,1st,,593081,,609588,
0102801000,Adams,012801000,Mun,,,5th,,1792,,2189,
0102801001,Adams,012801001,Bgy,,,,R,1792,,2189,
0102802000,Bacarra,012802000,Mun,,,3rd,,32215,,33496,
0102802001,Bani,012802001,Bgy,,,,R,853,,1079,
0102802002,Buyon,012802002,Bgy,,,,R,1596,,1669,
0102802003,Cabaruan,012802003,Bgy,,,,R,1413,,1418,
0102802004,Cabulalaan,012802004,Bgy,,,,R,733,,733,
0102802005,Cabusligan,012802005,Bgy,,,,R,1038,,1170,
0102802006,Cadaratan,012802006,Bgy,,,,R,1192,,1212,
0102802007,Calioet-Libong,012802007,Bgy,,,,R,823,,827,
0102802008,Casilian,012802008,Bgy,,,,R,992,,1061,
0102802009,Corocor,012802009,Bgy,,,,R,814,,867,
0102802011,Duripes,012802011,Bgy,,,,R,1010,,1036,
0102802012,Ganagan,012802012,Bgy,,,,R,699,,701,
0102802013,Libtong,012802013,Bgy,,,,R,1587,,1620,
0102802014,Macupit,012802014,Bgy,,,,R,625,,647,
0102802015,Nambaran,012802015,Bgy,,,,R,982,,1004,
0102802016,Natba,012802016,Bgy,,,,R,530,,560,
0102802017,Paninaan,012802017,Bgy,,,,R,440,,435,
0102802018,Pasiocan,012802018,Bgy,,,,R,1162,,1209,
0102802019,Pasngal,012802019,Bgy,,,,R,760,,799,
0102802020,Pipias,012802020,Bgy,,,,R,1049,,1047,
0102802021,Pulangi,012802021,Bgy,,,,R,1082,,1091,
0102802022,Pungto,012802022,Bgy,,,,R,571,,554,
0102802024,San Agustin I ,012802024,Bgy,,,,R,546,,544,
0102802025,San Agustin II ,012802025,Bgy,,,,R,274,,281,
0102802027,San Andres I ,012802027,Bgy,,,,R,782,,796,
0102802028,San Andres II ,012802028,Bgy,,,,R,694,,724,
0102802030,San Gabriel I ,012802030,Bgy,,,,R,269,,294,
0102802031,San Gabriel II ,012802031,Bgy,,,,R,390,,406,
0102802033,San Pedro I ,012802033,Bgy,,,,R,385,,393,
0102802034,San Pedro II ,012802034,Bgy,,,,R,597,,585,
0102802036,San Roque I ,012802036,Bgy,,,,R,524,,530,
0102802037,San Roque II ,012802037,Bgy,,,,R,352,,399,
0102802039,San Simon I ,012802039,Bgy,,,,R,626,,637,
0102802040,San Simon II ,012802040,Bgy,,,,R,333,,341,
0102802041,San Vicente ,012802041,Bgy,,,,R,649,,723,
0102802042,Sangil,012802042,Bgy,,,,R,1031,,1097,
0102802044,Santa Filomena I ,012802044,Bgy,,,,R,264,,276,
0102802045,Santa Filomena II ,012802045,Bgy,,,,R,342,,344,
0102802046,Santa Rita ,012802046,Bgy,,,,R,1104,,1119,
0102802047,Santo Cristo I ,012802047,Bgy,,,,R,409,,422,
0102802048,Santo Cristo II ,012802048,Bgy,,,,R,420,,459,
0102802050,Tambidao,012802050,Bgy,,,,R,775,,813,
0102802051,Teppang,012802051,Bgy,,,,R,643,,706,
0102802052,Tubburan,012802052,Bgy,,,,R,855,,868,
0102803000,Badoc,012803000,Mun,,,3rd,,31616,,32530,
0102803001,Alay-Nangbabaan,012803001,Bgy,Alay 15-B,,,R,1079,,1090,
0102803002,Alogoog,012803002,Bgy,,,,R,936,,974,
0102803003,Ar-arusip,012803003,Bgy,,,,R,799,,808,
0102803004,Aring,012803004,Bgy,,,,R,1351,,1362,
0102803005,Balbaldez,012803005,Bgy,,,,R,320,,302,
0102803006,Bato,012803006,Bgy,,,,R,979,,996,
0102803007,Camanga,012803007,Bgy,,,,R,1126,,1213,
0102803008,Canaan ,012803008,Bgy,,,,R,573,,603,
0102803009,Caraitan,012803009,Bgy,,,,R,1370,,1391,
0102803011,Gabut Norte,012803011,Bgy,,,,R,1536,,1680,
0102803012,Gabut Sur,012803012,Bgy,,,,R,1011,,894,
0102803013,Garreta ,012803013,Bgy,,,,U,1376,,1383,
0102803016,Labut,012803016,Bgy,,,,R,765,,848,
0102803017,Lacuben,012803017,Bgy,,,,R,1422,,1703,
0102803018,Lubigan,012803018,Bgy,,,,R,1260,,1381,
0102803020,Mabusag Norte,012803020,Bgy,,,,R,1130,,1125,
0102803021,Mabusag Sur,012803021,Bgy,,,,R,1133,,1135,
0102803022,Madupayas,012803022,Bgy,,,,R,861,,848,
0102803023,Morong,012803023,Bgy,,,,R,854,,892,
0102803025,Nagrebcan,012803025,Bgy,,,,R,525,,528,
0102803026,Napu,012803026,Bgy,,,,R,1488,,1514,
0102803027,La Virgen Milagrosa,012803027,Bgy,Paguetpet,,,R,1080,,1095,
0102803028,Pagsanahan Norte,012803028,Bgy,,,,R,1180,,1170,
0102803029,Pagsanahan Sur,012803029,Bgy,,,,R,1337,,1412,
0102803030,Paltit,012803030,Bgy,,,,R,1617,,1589,
0102803031,Parang,012803031,Bgy,,,,R,427,,438,
0102803032,Pasuc,012803032,Bgy,,,,R,428,,505,
0102803034,Santa Cruz Norte,012803034,Bgy,,,,R,958,,916,
0102803035,Santa Cruz Sur,012803035,Bgy,,,,R,689,,702,
0102803036,Saud,012803036,Bgy,,,,R,1244,,1325,
0102803037,Turod,012803037,Bgy,,,,R,762,,708,
0102804000,Bangui,012804000,Mun,,,4th,,14672,,15019,
0102804001,Abaca,012804001,Bgy,,,,R,1729,,1842,
0102804002,Bacsil,012804002,Bgy,,,,R,725,,683,
0102804003,Banban,012804003,Bgy,,,,R,740,,777,
0102804004,Baruyen,012804004,Bgy,,,,R,1541,,1742,
0102804005,Dadaor,012804005,Bgy,,,,R,426,,405,
0102804006,Lanao,012804006,Bgy,,,,R,1958,,2017,
0102804007,Malasin,012804007,Bgy,,,,R,1000,,1028,
0102804008,Manayon,012804008,Bgy,,,,R,1092,,997,
0102804009,Masikil,012804009,Bgy,,,,R,629,,649,
0102804010,Nagbalagan,012804010,Bgy,,,,R,701,,707,
0102804011,Payac,012804011,Bgy,,,,R,758,,781,
0102804012,San Lorenzo ,012804012,Bgy,,,,R,2176,,2261,
0102804014,Taguiporo,012804014,Bgy,,,,R,547,,491,
0102804015,Utol,012804015,Bgy,,,,R,650,,639,
0102805000,City of Batac,012805000,City,,CC,5th,,55201,,55484,
0102805001,Aglipay ,012805001,Bgy,,,,R,1412,,1059,
0102805002,Baay,012805002,Bgy,,,,R,3075,,3241,
0102805003,Baligat,012805003,Bgy,,,,R,1907,,1923,
