10-digit PSGC,Name,Correspondence Code,Geographic Level,Old names,City Class,"Income
Classification","Urban / Rural
(based on 2020 CPH)",2015 Population,,2020 Population,
0102800000,Ilocos Norte,012800000,Prov,,,1st,,593081,,609588,
0102900000,Ilocos Sur,012900000,Prov,,,1st,,689668,,706009,
0103300000,La Union,013300000,Prov,,,1st,,786653,,822352,
0105500000,Pangasinan,015500000,Prov,,,1st,,2956726,,3163190,
0200900000,Batanes,020900000,Prov,,,5th,,17246,,18831,
0201500000,Cagayan,021500000,Prov,,,1st,,1199320,,1268603,
0203100000,Isabela,023100000,Prov,,,1st,,1593566,,1697050,
0205000000,Nueva Vizcaya,025000000,Prov,,,2nd,,452287,,497432,
0205700000,Quirino,025700000,Prov,,,3rd,,188991,,203828,
0300800000,Bataan,030800000,Prov,,,1st,,760650,,853373,
0301400000,Bulacan,031400000,Prov,,,1st,,3292071,,3708890,
0304900000,Nueva Ecija,034900000,Prov,,,1st,,2151461,,2310134,
0305400000,Pampanga,035400000,Prov,,,1st,,"(excluding CITY OF ANGELES) 2,198,110",,"(excluding CITY OF ANGELES) 2,437,709",
0306900000,Tarlac,036900000,Prov,,,1st,,1366027,,1503456,
0307100000,Zambales,037100000,Prov,,,2nd,,"(excluding CITY OF OLONGAPO) 590,848",,"(excluding CITY OF OLONGAPO) 649,615",
0307700000,Aurora,037700000,Prov,,,3rd,,214336,,235750,
0401000000,Batangas,041000000,Prov,,,1st,,2694335,,2908494,
0402100000,Cavite,042100000,Prov,,,1st,,3678301,,4344829,
0403400000,Laguna,043400000,Prov,,,1st,,3035081,,3382193,
0405600000,Quezon,045600000,Prov,,,1st,,"(excluding CITY OF LUCENA) 1,856,582",,"(excluding CITY OF LUCENA) 1,950,459",
0405800000,Rizal,045800000,Prov,,,1st,,2884227,,3330143,
1704000000,Marinduque,174000000,Prov,,,4th,,234521,,239207,
1705100000,Occidental Mindoro,175100000,Prov,,,2nd,,487414,,525354,
1705200000,Oriental Mindoro,175200000,Prov,,,1st,,844059,,908339,
1705300000,Palawan,175300000,Prov,,,1st,,"(excluding CITY OF PUERTO PRINCESA) 849,469",,"(excluding CITY OF PUERTO PRINCESA) 939,594",
1705900000,Romblon,175900000,Prov,,,3rd,,292781,,308985,
0500500000,Albay,050500000,Prov,,,1st,,1314826,,1374768,
0501600000,Camarines Norte,051600000,Prov,,,2nd,,583313,,629699,
0501700000,Camarines Sur,051700000,Prov,,,1st,,1952544,,2068244,
0502000000,Catanduanes,052000000,Prov,,,3rd,,260964,,271879,
0504100000,Masbate,054100000,Prov,,,1st,,892393,,908920,
0506200000,Sorsogon,056200000,Prov,,,2nd,,792949,,828655,
0600400000,Aklan,060400000,Prov,,,2nd,,574823,,615475,
0600600000,Antique,060600000,Prov,,,2nd,,582012,,612974,
0601900000,Capiz,061900000,Prov,,,1st,,761384,,804952,
0603000000,Iloilo,063000000,Prov,,,1st,,"(excluding ILOILO CITY) 1,936,423",,"(excluding ILOILO CITY) 2,051,899",
0604500000,Negros Occidental,064500000,Prov,,,1st,,"(excluding CITY OF BACOLOD)  2,497,261",,"(excluding CITY OF BACOLOD)  2,623,172",
0607900000,Guimaras,067900000,Prov,,,4th,,174613,,187842,
0701200000,Bohol,071200000,Prov,,,1st,,1313560,,1394329,
0702200000,Cebu,072200000,Prov,,,1st,,"(excluding the cities of CEBU, LAPU-LAPU, AND MANDAUE) 2,938,982 ",,"(excluding the cities of CEBU, LAPU-LAPU, AND MANDAUE) 3,325,385",
0704600000,Negros Oriental,074600000,Prov,,,1st,,1354995,,1432990,
0706100000,Siquijor,076100000,Prov,,,5th,,95984,,103395,
